"Protein","tstat_source","tstat_target","pval_source","pval_target","flag_source","flag_target","source_target_agreement"
"ECHA_HUMAN",1.55869700510133,-1.3859977655812,0.119956790214293,0.169007352134929,0,0,1
"SEPT7_HUMAN",0.46290811297578,0.624948895034517,0.643715562595985,0.533428329390497,0,0,1
"TIF1B_HUMAN",1.10260643680043,0.410887341914739,0.270945370635456,0.682072998285637,0,0,1
"RS2_HUMAN",3.51261088069315,-0.506452021093835,0.000500860886769262,0.613636487115655,1,0,0
"SYAC_HUMAN",-2.96899995673082,0.381902541332733,0.00320894282667498,0.70326667082705,-1,0,0
"TPM4_HUMAN",-0.0189041981648009,0.0557443567664314,0.98492812153221,0.955652297083853,0,0,1
"AGM1_HUMAN",-0.127952995637268,0.0703827653147816,0.898259030832351,0.944021860442502,0,0,1
"AT2A2_HUMAN",0.596685962287025,-1.75150206882866,0.551096588085726,0.0823365208808349,0,0,1
"FLNA_HUMAN",0.654432918216276,-1.65948726373403,0.513255590063601,0.100007566414951,0,0,1
"GANAB_HUMAN",0.882600105302233,0.0562380821633673,0.378048904833403,0.955262051423372,0,0,1
"TCPH_HUMAN",1.20005605452278,-1.00748162246824,0.230916028966883,0.316143063344893,0,0,1
"SFPQ_HUMAN",1.54194734831932,0.446159719482429,0.12397717885659,0.65656644337971,0,0,1
"SPTB2_HUMAN",-0.135398033701687,0.178837703265062,0.892373870562945,0.858413266318871,0,0,1
"CYBP_HUMAN",-1.92431308922808,1.10500041039263,0.0551185106252081,0.271714101166245,0,0,1
"LPPRC_HUMAN",0.805173611776038,-1.10874177592259,0.421259053517395,0.270083657693198,0,0,1
"STML2_HUMAN",2.59319749205207,0.353408035661333,0.00990112518805832,0.724519606143372,1,0,0
"HSP74_HUMAN",-1.3076007968008,0.986788953950753,0.19186495331534,0.326068097886083,0,0,1
"SYYC_HUMAN",0.219731638697961,0.0533865148363443,0.826206116788954,0.957526609525758,0,0,1
"ACLY_HUMAN",-0.52350182260266,-2.74060116796,0.600951089861499,0.00703443025109782,0,-1,0
"SYQ_HUMAN",-0.290395623229734,0.100470507533511,0.771683578429724,0.92016949015135,0,0,1
"RAB10_HUMAN",1.91852236617729,-1.58534835176084,0.0558591615648965,0.115843061082946,0,0,1
"RL3_HUMAN",1.91743179086044,-0.487441289731472,0.0559871551339119,0.626916534805929,0,0,1
"HNRPQ_HUMAN",1.42309838779896,-0.115904832113205,0.155585911817963,0.907954494519828,0,0,1
"LAMP1_HUMAN",0.47644006878854,0.864485045913194,0.634053325422016,0.389429237196805,0,0,1
"C1QBP_HUMAN",2.36695880969613,-0.145240310952678,0.0184710209354665,0.884834650334739,1,0,0
"TXNL1_HUMAN",-0.372308878041365,0.419901056729847,0.709884603521386,0.675410425382257,0,0,1
"NONO_HUMAN",0.939859742700954,0.339841582938474,0.347926830280159,0.734799239433685,0,0,1
"COTL1_HUMAN",-1.54520858180689,-0.177152429262582,0.123185680142233,0.859745426863554,0,0,1
"PSB1_HUMAN",-1.56724403871855,1.19109223894422,0.117981814042848,0.236117385048857,0,0,1
"SCPDL_HUMAN",1.22290529990412,1.4113196471209,0.222175291888927,0.160966572263365,0,0,1
"THIC_HUMAN",-1.93924963725578,0.326693256689485,0.0532736323153656,0.744539575773268,0,0,1
"RL10A_HUMAN",1.29838583315563,-0.128743597473379,0.194999216745098,0.897827069238885,0,0,1
"CD59_HUMAN",-1.31465676038965,0.0553093527603706,0.189473661907457,0.955985583195346,0,0,1
"ATP5H_HUMAN",2.65927582418188,0.343306912574924,0.00818473786878123,0.732059678305036,1,0,0
"MARE1_HUMAN",-0.757340791038183,1.19773134111502,0.449346786040184,0.233919473085305,0,0,1
"CNN3_HUMAN",-1.471318465587,1.08174283537043,0.142097057091173,0.281758192053314,0,0,1
"CN37_HUMAN",0.146319202046446,-2.52485516530097,0.88375224320577,0.0130797768670261,0,-1,0
"CLIC4_HUMAN",-1.90471343914155,-1.1930370214152,0.0576242888752922,0.23580898615446,0,0,1
"NAGK_HUMAN",-2.48494896855869,0.941645102877558,0.0134157137953102,0.348696651079597,-1,0,0
"PDCD6_HUMAN",0.920006333736531,-2.00154544137844,0.358192692578819,0.0482227316010779,0,-1,0
"TCPQ_HUMAN",1.59373360197338,0.0952334275465635,0.111887257284894,0.924322150341998,0,0,1
"GLYM_HUMAN",2.06587816408909,-2.75608902672187,0.0395708611407477,0.00683286507053134,1,-1,0
"UGPA_HUMAN",-1.96157995432535,0.69390130796408,0.0505917893212742,0.489344565559375,0,0,1
"PRS4_HUMAN",0.451661197893719,0.372265376945635,0.651788118591259,0.710398008313395,0,0,1
"TOM70_HUMAN",1.52048488994184,-0.844834510301825,0.129286952134861,0.400257183719092,0,0,1
"RS7_HUMAN",0.369176934011611,-0.760802979378234,0.712215548863919,0.448769554702029,0,0,1
"PSMD3_HUMAN",1.42023996561725,-0.94176845918087,0.156416630257095,0.348364854693273,0,0,1
"HNRL1_HUMAN",0.844611436888454,1.92161054014305,0.398896442119861,0.0571791473522742,0,0,1
"SF3B1_HUMAN",1.38390868245781,-0.227870488136172,0.167257465508301,0.820199412948737,0,0,1
"SODM_HUMAN",-1.37047395671673,0.930280560167981,0.171403945786943,0.354294598445422,0,0,1
"COMT_HUMAN",0.26841383046693,-0.148400881823321,0.788536291152244,0.882293421704227,0,0,1
"VATA_HUMAN",-0.350766321274927,0.854361064160906,0.725971455097921,0.394929893266527,0,0,1
"DHE3_HUMAN",1.916574954604,-1.03536467403997,0.0560923364963639,0.302925772793947,0,0,1
"PHP14_HUMAN",-1.38930823868851,1.39940318083534,0.165624755233176,0.165075436587339,0,0,1
"ARPC5_HUMAN",-1.35283706417594,-0.00508107357085967,0.176999438102711,0.995955897617477,0,0,1
"ERP44_HUMAN",1.44804054897539,0.3022438448846,0.148490383531453,0.76303896612379,0,0,1
"TXND5_HUMAN",-0.0117676273960451,-0.586949534006939,0.990617603847976,0.558588535803594,0,0,1
"MYH10_HUMAN",1.07762134244947,-0.565966671594128,0.281938545893707,0.572619304875269,0,0,1
"COPA_HUMAN",1.30944131422294,-0.715022295708678,0.191233722834761,0.47600228947969,0,0,1
"TCPG_HUMAN",2.26147596716646,-0.35382508379468,0.0243364068829388,0.724157466362411,1,0,0
"GFPT1_HUMAN",0.576582847792444,1.05476406364059,0.564586971640473,0.294023508549117,0,0,1
"PIMT_HUMAN",-1.44971102613316,0.415315269215065,0.148064169446451,0.678785714139716,0,0,1
"AK1A1_HUMAN",-1.79880661112809,1.90850863065394,0.0729018649820597,0.0591751865762626,0,0,1
"EIF3A_HUMAN",0.720781378317115,-0.016934300034105,0.471517554377855,0.986523670682515,0,0,1
"APEX1_HUMAN",-2.72533892499053,2.12701543187957,0.00674440172594461,0.035906188126905,-1,1,0
